company_name,cage,email,phone,contact_name,linkID
BUTLER PRECISION BELTING INC.,008685,,315-422-2131,SALES,008685
JETTRON PRODUCTS INC.,008692,,800-791-9111,SARA JOHNSON,008692
MICRO PLASTICS INCORPORATED,008694,,201-529-3611,Paul Abelquest,008694
SLATE ENTERPRISES INC.,008697,,800-827-5367,Tricia Sloan,008697
DILL AIR CONTROLS PRODUCTS,008699,,011903122674860,Dan Shipos,008699
MARK ELECTRONICS INC,008700,,800-213-0657,Aimee Downs,008700
THICKSTUN BROTHERS EQUIPMENT,008706,,866-862-7278,RICK BUSH,008706
SPECTRONICS CORPORATION,008710,,800-322-3306,GREG JONES,008710
FISHER SCIENTIFIC CO.,008712,,954-698-6000,Cheryl Miles,008712
THE GERIN CORP.,008713,,517-278-2354,SALES,008713
VIATRAN CORP.,008714,registration@IdenTrust.com,866-439-2227,CUSTOMER SERVICE,008714
RADIO FREQUENCY SYSTEM INC.,008715,,352-684-5173,Josh Eagan,008715
RAPID POWER TECHNOLOGIES,008716,,,BRIAN HOWLETT,008716
MAN B & W DIESEL (HOUSTON) INC,008717,,201-767-9660,PHILLIP BIEDLER,008717
BERGQUIST COMPANY,008718,,914-328-8593,Gus,008718
TELATEMP CORPORATION,008719,,800-262-6412,Brenda Lopez,008719
"EATON CORPORATION, LEBOW PROD.",008720,,716-374-1947,SHELLY DAVOLI,008720
CHAMPION CO.,008721,Liam.Reville@meggitt.com,718-793-6900,Sales,008721
HONEYWELL AIRPORT SYSTEMS,008722,,716-568-4135,Gordon Edwards,008722
GENERAL EASTERN INSTR.,008723,,219-476-0772,T. Ross (as of 6/27/24),008723
DABURN ELECTRONICS CORP.,008724,,773-685-7300,MICHELE BELL,008724
ADVANCED INDUSTRIES,008727,,:+86-510-8378,WILLIAM GODFREY,008727
LOURDES INDUSTRIES,008732,,800-466-3689,Megan,008732
ELECTRO-FILMS INC.,008735,,520-876-5151,JOE LAPIANA,008735
CARP INDUSTRIES,008741,tclark@smythcountymachine.com,973-226-9100,NADINE POTKEWITZ,008741
MOHAWK LTD.,008744,hercoop@netsync.net,215-849-0509,BRYCE MOORE,008744
SHALLCO INC,008749,sales@alliedinter.com,652-8344,PAULA BOLES,008749
AMERICAN BOA,008750,lennycfp@optonline.net,302-326-4803,BOBBY PEELER,008750
MIDWEST MIXING INC.,008755,vdang@asapsemi.com,913-469-5050,CODY O'NEAL,008755
HIGH QUALITY MACHINE CORP.    ,008757,,0114991037953-0,CUSTOMER CARE,008757
TEL-INSTRUMENT,008758,JMIKEL581@GMAIL.COM,716-649-8936,DIANA SCRIVANOS,008758
ROBINSON NUGENT INC.,008759,,609-518-1600,Greg Mitek,008759
KAYDON CORPORATION,008762,orders@4-help.org,800-437-9224,RON RITCHEY ,008762
WOODARD ELECTRIC INC,008768,,215-232-5926,SALES,008768
W.G. HENSCHEN COMPANY,008771,,699-2144, ,008771
R. E. DARLING CO INC,008774,,315-789-4618,Dana Dietz,008774
ICI,008775,orders@zendextool.com,800-752-3513,Mike Picariello,008775
ELLIOTT TOOL TECHNOLOGIES LTD.,008776,averill@aerotechsolutions.com,714-666-2150,DAVID STINCHCOMB,008776
FORMRITE COMPANIES,008777,Jacqueline.m.mcdonough@baesystems.com,717-665-2275,Brian Monnin,008777
HYDRO-MECHANICAL SYSTEMS,008778,wesley.coulter@allfasteners.com,603-432-1700,WALT,008778
API ELECTRONICS INC.,008782,,201-288-8877,John Johnson / Sales,008782
"MICO SEWING SUPPLIES,INC",008785,,631-696-8844,BECKY KATONA,008785
RONCELLI PLASTICS INC,008787,,315-797-9346,Joe Mikoli,008787
EMPIRE STATE SCIENTIFIC CO.INC,008793,William McCullough [WMcCullough@associatedfire.com,01131765085577,Garth Burger,008793
GHX INC,008794,,662-335-2325,Jim Seeberger,008794
GRAPHICO ELECTRONICS GRP,008798,,707-747-5900,PAM TWITCHELL,008798
UNITED AVIONICS INC,008800,,714-549-3041,SALES,008800
ADVANCED TECHNICAL CORPORATION,008805,,800-328-0036,Sales,008805
STERLING MANUFACTURING,008806,,519-622-7363,DAN HUTCHINSON,008806
AERO SUPPORT INC,008808,,518-798-3056,CHERYL,008808
DYNACON INC,008809,,716-332-5915,ANDREW KING,008809
SCHRAMM INDUSTRIES INC,008816,,452-9729,Bruce Sandler,008816
SPACE COMPONENT SUPPLY,008822,,256-547-6918,Mark Bregman,008822
PRESCOTT AEROSPACE INC.,008823,,205-988-9708,Sales,008823
SERRA MFG CORPORATION,008825,,215-464-9300,JOANNE K. HODDE,008825
GRAYGLASS,008831,customer.service@gasketsandmore.com,212-312-6880,Frank Lent,008831
CONVEYER & CASTER CORPORATION,008832,couplingsusa@flender.com,860-589-0049,714-379-4554 (fax),008832
RAYCO ELECTRONICS,008837,,314-631-9200,"CherylVaughn/MichelleF,AR",008837
"CROSS MANUFACTURING, INC",008842,jfinklea@westernliner.com,585-624-4561,Vicki Frazier,008842
"MID-STATE AEROSPACE, INC.",008843,SALES@MBELECT.COM,336-668-4444,SALES DEPT.,008843
CONNECTRONICS INC.,008844,,315-342-4442,Tom Gibbs,008844
KRITECH CORPORATION,008850,,207-646-2156,CLAIBOURNE JACKSON,008850
GENERAL RUBBER CORP,008852,aborman@hutchinsoninc.com,707-542-9996,RON TURPIN,008852
ROXTEC INC.,008867,ghowell@stingersprayers.com,267-328-6600,JAMIE,008867
AEROSPACE PRODUCTS INTL.      ,008870,,314-534-7150,EMMA STEVENSON,008870
"HSC CONTROLS, INC.",008877,,800-757-1092,NICK,008877
AEROFLITE ENTERPRISES,008879,,262-248-4481,JONATHAN OXLEY,008879
ATLAS SPONGE RUBBER,008883,,504-833-7386,Sales Department,008883
"MELRATH GASKET CO., INC.",076281,,410-893-8508,Pete Ptsuleff,076281
INSCOM ELECTRONICS CORP,100002,,437-1181,Scott Stearns,100002
ROCHESTER ELECTRONICS INC,100004,kc.smith@segoviaip.com,800-770-8851,DOUG BLOCKSOM,100004
POWER PARAGON INC; POWER ,100019,,800-610-3422,ELLEN DIETEL,100019
PRECISION COIL SPRING CO.,100025,sales@robertbrooke.com,316-263-2056,"Stacey Peters, Acctg",100025
TRI-STATE TECHNICAL SALES,100027,info@manuals.co.nz,352-861-3616,SALES DEPT.,100027
"SYSTEMS 3, INC.",100032,,713-699-7616,Amy King,100032
LOCKHEED MARTIN FEDERAL SYS.,100034,,716-570-6541,SHANE KINCADE,100034
LINDGREN RF ENCLOSURES,100036,,315-625-7242,ALLEN RETAY,100036
ILS INTEGRATED LOGISTIC,100041,,617-547-7898,WAYNE DUNN,100041
TED MANUFACTURING CORPORATION,100049,swoltman@protectoseal.com,248-879-5020,Teresa Coyne  x1812,100049
"DRS EW & NETWORK SYSTEMS, INC.",100056,accounting@doxnet.com,888-829-7185,Rosie Bernal,100056
EVANS & SUTHERLAND,100060,,419-396-6256,Kim Vincent,100060
NORTH AMERICAN FILTER CORP,100066,lindsaycorp@aol.com,412-487-5511,SONIA KLAMA,100066
J F C ELECTRONICS INC.,100069,,714-973-0657,COREY JARZYNIECKI,100069
FASTENER INNOVATION TECHNOLOGY,100071,***DO NOT USE***DO NOT USE***DO NOT USE***,716-634-3656 ,DAVE,100071
GDE SYSTEMS INC.,100073,,316-663-1231,Kathy Emann,100073
METEX  CORPORATION,100074,,207-883-5218,TONY DONATTO,100074
WESTFIELD HYDRAULICS,100076,,617-445-8910,ALWAYS REQUEST MFG COC,100076
"REV-CAP CO., INC.",100077,,919-372-8413,Tom Lemaster,100077
PIONEER INDUSTRIES INC.,100078,bbodley@protechtool.com,800-233-3861,TIM MULLINS,100078
"GSE SPARES, INC.",100079,mciallelo@indium.com,616-361-2681,Robert Currier,100079
"LEE AIR COMPANY, INC.",100084,,800-843-7637,fanny,100084
GTE GOVERNMENT SYSTEMS CORP.,100085,,800-273-1782,SALES,100085
MEGGIT AVIONICS,100090,,,,100090
TELEDYNE EMS,100100,quotes@divaero.com,800-233-2211,JAMES COOPER,100100
"EIS, INC.",100110,steves@airportlightingcompany.com,315-451-3800,CHAD PETERS,100110
HOME DEPOT,100112,ams@amsprinting.com ,201-869-6600,DAVE GEISEL,100112
ADVANTAGE BATTERY CORPORATION,100113,,713-827-5006,Ari Ali,100113
NYLON MOLDING CORPORATION,100120,mswinhoe@jetech.com,714-258-7283,STEVE GORDON,100120
"REID PRODUCTS, INC.",100126,FRANK@FLUIDGUY.COM,937-298-9994,SALES,100126
"ESSIBUY.COM, INC.",100128,,315-472-7721,Bernie / Dave - Parts,100128
SPACE SPRING AND STAMPING CO.,100133,massimiliano.ruzzi@cobointernational.com,949-859-8999,PAULA HOLTZ,100133
"SCHRADER INTERNATIONAL, INC.",100136,,949.645.4800,BOB OLSEN,100136
FALCON MANUFACTURING CORP.,100137,mstevens@domsinc.com,519-763-3625,Douglas Piskac,100137
ORLOTRONICS CORPORATION,100138,,305-592-4633,Lynne Schlinder,100138
"MARINE ELECTRIC SYSTEMS, INC",100140,hans-ole.labakk@servi.no,774-413-5281,Government Sales,100140
SIGNAL TECHNOLOGIES,100143,,302-633-4600,MARIE LABRECQUE,100143
"TULMAR SAFETY SYSTEMS, INC",100145,atokarski@penflex.com,631-226-7800,Connie Girlando,100145
NEER MFG CO INC,100148,,856-467-3200,Andy,100148
WIN-TRON ELECTRONICS,100149,,801 487-2225,Judy Reifschneider,100149
"STUART INDUSTRIES, INC.",100151,carmen@twotreesproducts.com,914-664-9023,Julie Kimmel,100151
DANFOSS POWER SOLUTIONS II LLC,100152,info@spirol.com,810-471-4440,Bob Mercurio,100152
OSHKOSH TRUCK CORPORATION,100155,cramirez@mcpsrvs.com,877-448-6881,Gary Darling,100155
LINEAR TECHNOLOGY CORP.,100157,,909-946-8220,BILL LAUTERBACH,100157
INDUSTRIAL TUBE CORPORATION,100165,accounting@perlanesales.com,630-736-5500,Rick Hind,100165
"ALLIED POWER PRODUCTS, INC.",100167,,360-671-1514,Christine Patz,100167
"VER SALES, INC.",100170,sconway@brennaninc.com,614-755-7152,BOB HALKOWICZ,100170
"JULIUS KRAFT CO., INC. ",100172,,978-649-7501,CUSTOMER SERVICE,100172
DFP MANUFACTURING CORP.,100175,,011441733891513,SALES,100175
SWISS CONTROLS INC.,100178,,800-633-0405,COLLEEN WHITE,100178
"CRAIG TECHNOLOGIES, INC",100186,,713-473-1114,SALES,100186
SEABEE CORPORATION,100187,,508 459-8911,Paul Johnsrud,100187
JAIDINGER MFG CO INC,100189,jmoore@axi-international.com,800-464-7757,John O'Brien,100189
"PERTECH, INC.",100193,ar@steelobrien.com,731-632-4342,Robert Schaaf,100193
NEW YORK FASTENERS,100199,,973-345-2180,Melissa Spratt,100199
BRIGHT LIGHTS USA INC.,100202,esarno@philagear.com,602-643-7475,Pilar Edens / Rick Sears,100202
ALPHA TECHNOLOGIES,100203,,713-675-6868,SHARON WILLIAMS,100203
AAR CORPORATION,100205,office@heavyfleet.com,763-559-2288,TIM BUSHNELL,100205
ALLIED SIGNAL INC ENGINE SYS.,100211,,718-874-0197,CUSTOMER SERVICE,100211
AEROSPACE MANUFACTURING INC,100214,mike.dormanen@cirrus.com,937-866-2112,SALES,100214
HORIZON AEROSPACE,100219,chase.stone@califone.com,571-405-5000,JOHN TAYLOR,100219
MICHELIN NORTH AMERICA INC.,100222,,708-338-8888,"JOE BATSCHELET/ Jessie,AR",100222
WEST COAST LOCK WASHER,100225,sbocchieri@astrex.net,765-474-2421x300,Jean Miller Ext 384,100225
SCHUTT INDUSTRIES LLC,100228,tfelt@matuse.com,513 771 1516,Scott,100228
"AEROPRODUCTS, INC.",100229,,716-839-2297,SALES,100229
"SENDURE PRODUCTS, INC.",100230,,888-632-2633,ANDREW DEVEGILI,100230
DOMS INC,100232,info@atlanticdrivesnc.com,800-526-4066,Pat Carter,100232
AMERICAN CRANE & EQUIP. CORP.,100234,,870-534-5532,Bob Rankin,100234
CONAX BUFFALO CORPORATION,100237,kgrabher@haygor.com,716-662-7900,GLENN,100237
PB FASTENERS ,100238,,201-935-5400,VLADIMIR MOLINA,100238
MAC PANEL COMPANY,100240,,888-732-3817,Sara,100240
"PALMER INSTRUMENTS, INC.",100242,dave@electrolabinc.com,714-258-7112,James Fletcher,100242
"SERVOMEX CO., INC.",100243,,888-215-1745,KARL ARRON,100243
"CABLE ASSEMBLIES, INC.",100244,,520-792-9077,Bill Pealo,100244
THE EDISON COMPANY,100254,,856-461-1900,Tony Rogers,100254
CARVER SUPPLY,100257,,585-924-4000,SALES,100257
ZO-MIR LLC,100264,chryssaw@magnatrol.com,805-581-4000,SUSAN WANG,100264
G H BERLIN WINDWARD,100265,,541-899-8215,Shane Overgaard,100265
WEGO PRECISION MACHINE INC,100272,,716-634-4194,TRESA FAUSTMAN,100272
ITT SNYDER,100274,,888-273-3084,CUSTOMER SERVICE,100274
COMPONENTS INTERCONTINENTAL,100277,,704-753-4919,Eric,100277
G.L. HUYETT (Flinthills Trdng),100279,ddyer51@charter.net,610-566-8182,GUS ZIMMERMAN,100279
CODALEX LTD.,100282,,210-924-5561,DONNA BRANNAN,100282
"BURKE PRODUCTS, INC",100283,fordyvert@yahoo.com,847-328-0550,"Jackie Mutka, AR Mgr",100283
"FLOYD BELL ASSOC., INC. ",100287,GIBSONGT@AOL.COM,860-848-9271,MAURICE HARRIS,100287
